"sample_id","true_label","k=3","k=4","k=5","k=6","k=7"
"F189","LumB","2","2","3","3","7"
"F190","LumA","3","4","5","5","5"
"F191","LumB","2","2","3","3","7"
"F192","LumA","2","2","2","2","2"
"F193","LumA","3","3","4","4","4"
"F194","LumB","3","3","4","4","4"
"F195","LumA","3","4","5","5","5"
"F196","LumA","3","4","5","5","5"
"F197","LumA","2","2","2","2","2"
"F198","LumA","3","4","5","5","5"
"F199","LumB","2","2","2","2","2"
"F200","LumA","2","2","2","2","2"
"F201","LumA","3","4","5","5","5"
"F202","LumA","3","4","5","5","5"
"F203","Normal","3","4","5","5","5"
"F204","LumB","2","2","2","2","2"
"F205","Basal","1","1","1","1","1"
"F206","LumA","3","4","5","5","5"
"F207","LumA","2","2","2","2","2"
"F208","LumA","2","2","2","2","2"
"F209","LumB","3","3","4","4","4"
"F210","LumA","3","4","5","5","5"
"F211","LumB","2","2","2","2","2"
"F212","LumA","3","4","5","5","5"
"F213","LumB","2","2","2","2","2"
"F214","LumB","2","2","2","2","2"
"F215","LumA","2","2","3","3","7"
"F216","LumA","2","2","3","3","7"
"F217","LumA","3","4","5","5","5"
"F218","LumA","3","3","4","6","6"
"F219","LumA","3","4","5","5","5"
"F220","LumA","3","4","5","5","5"
"F221","LumA","2","2","2","2","2"
"F222","LumB","2","2","2","2","2"
"F223","LumA","3","4","5","5","5"
"F224","LumA","3","4","5","5","5"
"F225","LumB","2","2","3","3","7"
"F226","LumA","3","4","5","5","5"
"F227","LumA","2","2","2","2","2"
"F228","LumA","3","4","5","5","5"
"F229","LumB","2","2","2","2","2"
"F230","LumA","3","3","4","4","4"
"F231","LumB","3","4","5","5","5"
"F232","Her2","3","4","5","5","5"
"F233","LumA","2","2","2","2","2"
"F234","Normal","3","3","4","4","4"
"F235","LumB","2","2","2","2","2"
"F236","Basal","1","1","1","1","1"
"F237","LumB","2","2","3","3","3"
"F238","Her2","3","3","4","6","6"
"F239","LumA","2","2","2","2","2"
"F240","Her2","3","4","5","5","5"
"F241","Her2","3","3","4","4","4"
"F242","Her2","2","2","3","3","3"
"F243","Her2","3","3","4","6","6"
"F244","LumA","3","3","4","4","4"
"F245","Normal","3","3","4","4","4"
"F246","LumA","2","2","3","3","7"
"F247","LumB","2","2","3","3","3"
"F248","Her2","3","3","4","6","6"
"F249","LumA","2","2","2","2","2"
"F250","LumA","2","2","3","3","7"
"F251","LumA","3","4","5","5","5"
"F252","LumB","2","2","2","2","2"
"F253","LumA","3","4","5","5","5"
"F254","LumA","3","4","5","5","5"
"F255","Her2","2","2","2","2","2"
"F256","LumA","3","4","5","5","5"
"F257","LumA","3","3","4","4","4"
"F258","Her2","3","3","4","6","6"
"F259","Basal","1","1","1","1","1"
"F260","LumA","2","2","2","2","2"
"F261","LumB","2","2","2","2","2"
"F262","LumA","3","4","5","5","5"
"F263","LumA","3","4","5","5","5"
"F264","LumB","2","2","2","2","2"
"F265","LumA","2","2","3","3","7"
"F266","Her2","3","3","4","6","6"
"F267","Her2","1","1","1","1","1"
